#
#"r"	"Average Phase"
#-------------------
25.000000000000	-44.769983100174
30.000000000000	-45.095340096376
35.000000000000	-45.544321026584
40.000000000000	-46.210902000132
45.000000000000	-46.970962450794
50.000000000000	-47.885694335785
55.000000000000	-49.063994867144
60.000000000000	-50.481734210050
65.000000000000	-52.061103756695
70.000000000000	-54.746701457798
75.000000000000	-60.248736169162
80.000000000000	-75.577322624541
85.000000000000	0.13461365873019
90.000000000000	-37.588332545811
95.000000000000	-45.292120173597
100.00000000000	-50.192378174030
105.00000000000	-53.453494311583
110.00000000000	-56.091783408186
115.00000000000	-58.808708963667
120.00000000000	-61.706551200663
125.00000000000	-63.988565614241
130.00000000000	-66.663422408299
135.00000000000	-69.424941738901
140.00000000000	-72.216413554592
145.00000000000	-75.065790611836
150.00000000000	-77.915364905091
155.00000000000	-80.843077766525
160.00000000000	-83.828981862200
165.00000000000	-86.855184372681
170.00000000000	-89.798479448061
175.00000000000	-93.021598677357
180.00000000000	-96.180600511819
185.00000000000	-99.559569057341
190.00000000000	-102.87073794817
195.00000000000	-106.37796580998
200.00000000000	-109.97848436993
