#
#"rx"	"Average Phase"
#--------------------
20.000000000000	128.32620343171
25.000000000000	123.80007521279
30.000000000000	118.43564073533
35.000000000000	112.06896139885
40.000000000000	104.36594187874
45.000000000000	95.394063663792
50.000000000000	84.925889161860
55.000000000000	72.966845390096
60.000000000000	59.504639336100
65.000000000000	44.398835292332
70.000000000000	26.524479510853
75.000000000000	10.028388911115
80.000000000000	-8.9590660444129
85.000000000000	-28.782627277989
90.000000000000	-48.014820366467
95.000000000000	-53.231792686671
100.00000000000	-79.474882114405
105.00000000000	-96.793392844416
110.00000000000	-115.08973517956
115.00000000000	-134.46697729637
120.00000000000	-149.00220757846
125.00000000000	-154.04751975518
130.00000000000	-164.62666644944
135.00000000000	-178.55717409369
140.00000000000	157.99476908862
145.00000000000	139.38015398244
150.00000000000	123.72854960177
