#
#"theta"	"Average Phase_1 (rx=20)"
#---------------------------------
1.0000000000000	0.0025716897240091
3.0000000000000	0.0076571080246718
5.0000000000000	0.012637791737639
7.0000000000000	0.017695202815841
9.0000000000000	0.022582080565514
11.000000000000	0.027354811407208
13.000000000000	0.032038524305923
15.000000000000	0.036520595643472
17.000000000000	0.040803391282994
19.000000000000	0.045018966913930
21.000000000000	0.048858904965181
23.000000000000	0.052544816831625
25.000000000000	0.055852861355334
27.000000000000	0.059060850320839
29.000000000000	0.061921004682571
30.000000000000	0.063198655862135
31.000000000000	0.064487257674795
33.000000000000	0.066726306139866
35.000000000000	0.068579754434480
37.000000000000	0.070224820388686
39.000000000000	0.071363589906518
41.000000000000	0.072298403953533
43.000000000000	0.072763833204522
45.000000000000	0.072990296168784
#
#"theta"	"Average Phase_1 (rx=25)"
#---------------------------------
1.0000000000000	0.0033731383894746
3.0000000000000	0.010003935090802
5.0000000000000	0.016547863138372
7.0000000000000	0.023228113358840
9.0000000000000	0.029610072904261
11.000000000000	0.035886397140576
13.000000000000	0.041972178729418
15.000000000000	0.047854332991847
17.000000000000	0.053585099799384
19.000000000000	0.058923436432155
21.000000000000	0.064132708748049
23.000000000000	0.068917964050917
25.000000000000	0.073313377601927
27.000000000000	0.077446935951207
29.000000000000	0.081176925522653
30.000000000000	0.082801298701690
31.000000000000	0.084479924632439
33.000000000000	0.087390345160830
35.000000000000	0.089908534081010
37.000000000000	0.091916886748110
39.000000000000	0.093559593927193
41.000000000000	0.094762130319642
43.000000000000	0.095472006891913
45.000000000000	0.095689254833804
#
#"theta"	"Average Phase_1 (rx=30)"
#---------------------------------
1.0000000000000	0.0042681518432386
3.0000000000000	0.012780293049177
5.0000000000000	0.021244083819779
7.0000000000000	0.029648696661781
9.0000000000000	0.037800221491440
11.000000000000	0.045804669863805
13.000000000000	0.053672930382234
15.000000000000	0.061227905919254
17.000000000000	0.068398461100979
19.000000000000	0.075426665163708
21.000000000000	0.081802627389540
23.000000000000	0.087944458401199
25.000000000000	0.093647205077421
27.000000000000	0.098936568889293
29.000000000000	0.10368440626493
30.000000000000	0.10586076755670
31.000000000000	0.10787581521484
33.000000000000	0.11162510265769
35.000000000000	0.11475209123705
37.000000000000	0.11743358942525
39.000000000000	0.11948530214442
41.000000000000	0.12090380143942
43.000000000000	0.12186587137574
45.000000000000	0.12216026127602
#
#"theta"	"Average Phase_1 (rx=35)"
#---------------------------------
1.0000000000000	0.0053503705981986
3.0000000000000	0.016012294522491
5.0000000000000	0.026718983428090
7.0000000000000	0.037218718557924
9.0000000000000	0.047490459879922
11.000000000000	0.057497581761395
13.000000000000	0.067184686895399
15.000000000000	0.076809260376964
17.000000000000	0.085813666573538
19.000000000000	0.094468861316013
21.000000000000	0.10259010481970
23.000000000000	0.11020464340739
25.000000000000	0.11752406995403
27.000000000000	0.12403592189627
29.000000000000	0.12992692246439
30.000000000000	0.13279155111367
31.000000000000	0.13525672160325
33.000000000000	0.13996894558026
35.000000000000	0.14407635478331
37.000000000000	0.14720318147006
39.000000000000	0.14985524646714
41.000000000000	0.15163807005480
43.000000000000	0.15276335057694
45.000000000000	0.15334518021616
#
#"theta"	"Average Phase_1 (rx=40)"
#---------------------------------
1.0000000000000	0.0066453019976993
3.0000000000000	0.019904794957855
5.0000000000000	0.033081342994505
7.0000000000000	0.045853440009376
9.0000000000000	0.058558122954284
11.000000000000	0.071040514138750
13.000000000000	0.083048011488703
15.000000000000	0.094752343603908
17.000000000000	0.10595899275324
19.000000000000	0.11653386892155
21.000000000000	0.12673008899103
23.000000000000	0.13636860455389
25.000000000000	0.14512666172317
27.000000000000	0.15313731229780
29.000000000000	0.16026090873266
30.000000000000	0.16397209527260
31.000000000000	0.16729293785238
33.000000000000	0.17277837016353
35.000000000000	0.17792342469079
37.000000000000	0.18197022097703
39.000000000000	0.18502801556086
41.000000000000	0.18732424498388
43.000000000000	0.18865028661494
45.000000000000	0.18918922795777
#
#"theta"	"Average Phase_1 (rx=45)"
#---------------------------------
1.0000000000000	0.0081763358321781
3.0000000000000	0.024068827347163
5.0000000000000	0.040163524317652
7.0000000000000	0.055846699386942
9.0000000000000	0.071371755443187
11.000000000000	0.086533295877879
13.000000000000	0.10142608768140
15.000000000000	0.11560728156321
17.000000000000	0.12916953165544
19.000000000000	0.14218658627315
21.000000000000	0.15463140757836
23.000000000000	0.16637510623269
25.000000000000	0.17664444468605
27.000000000000	0.18657815680063
29.000000000000	0.19574334654834
30.000000000000	0.20007960978760
31.000000000000	0.20362982762312
33.000000000000	0.21103952481983
35.000000000000	0.21662235588683
37.000000000000	0.22187151855194
39.000000000000	0.22573858091320
41.000000000000	0.22845773048556
43.000000000000	0.23032309142798
45.000000000000	0.23084681539892
#
#"theta"	"Average Phase_1 (rx=50)"
#---------------------------------
1.0000000000000	0.0096240100631885
3.0000000000000	0.029026324169632
5.0000000000000	0.048094879097366
7.0000000000000	0.066949780808606
9.0000000000000	0.085661543915525
11.000000000000	0.10377551547201
13.000000000000	0.12135357473058
15.000000000000	0.13851043012473
17.000000000000	0.15486539029474
19.000000000000	0.17068462215338
21.000000000000	0.18539408461032
23.000000000000	0.19931495232923
25.000000000000	0.21219529300772
27.000000000000	0.22439771948771
29.000000000000	0.23473318605174
30.000000000000	0.24003249723022
31.000000000000	0.24465541299921
33.000000000000	0.25313197992103
35.000000000000	0.26046572864358
37.000000000000	0.26612456228168
39.000000000000	0.27082967174014
41.000000000000	0.27428348091568
43.000000000000	0.27625325113313
45.000000000000	0.27724125424883
#
