#
#"rx"	"Average Phase"
#--------------------
20.000000000000	97.734688615337
25.000000000000	85.303678559106
30.000000000000	72.276651725729
35.000000000000	58.671982854271
40.000000000000	44.106082833044
45.000000000000	28.660623385090
50.000000000000	12.863598941486
55.000000000000	-1.6740535610825
60.000000000000	-15.924083316707
65.000000000000	-30.316718871380
70.000000000000	-44.823858550901
75.000000000000	-59.498166092036
80.000000000000	-74.171253327758
85.000000000000	-88.504712482733
90.000000000000	-96.104070989759
95.000000000000	-111.87195174240
100.00000000000	-127.64638226927
105.00000000000	-138.11844912237
110.00000000000	-148.19482361296
115.00000000000	-160.04813641370
120.00000000000	-171.74913498401
125.00000000000	178.32949348710
130.00000000000	172.22614939308
140.00000000000	151.33486625699
145.00000000000	139.36118908822
155.00000000000	121.43529292780
160.00000000000	116.82061036918
165.00000000000	105.54717782046
170.00000000000	88.226781923989
175.00000000000	58.827126689793
180.00000000000	23.706931615867
185.00000000000	-3.8804690551261
190.00000000000	-25.684892772219
195.00000000000	-53.862483018553
200.00000000000	83.216852177965
