" 3D Run ID","ry","rx","Tables\0D Results\Average Phase"
"241","140","140","38.8635"
"242","150","140","21.6217"
"243","160","140","4.20529"
"244","170","140","11.0359"
"245","180","140","-28.5244"
"246","190","140","-8.24588"
"247","200","140","-30.2992"
"248","20","150","-56.0632"
"249","30","150","-65.2442"
"250","40","150","-77.2795"
"251","50","150","-93.0391"
"252","60","150","-114.342"
"253","70","150","-145.017"
"254","80","150","-157.872"
"255","90","150","160.38"
"256","100","150","156.792"
"257","110","150","100.01"
"258","120","150","72.1892"
"259","130","150","48.7401"
"260","140","150","27.173"
"261","150","150","-17.1716"
"262","160","150","9.20874"
"263","170","150","0.122889"
"264","180","150","-19.3967"
"265","190","150","-32.8495"
"266","200","150","-46.6298"
"267","20","160","-56.824"
"268","30","160","-66.5216"
"269","40","160","-79.1655"
"270","50","160","-96.0198"
"271","60","160","-118.987"
"272","70","160","-155.929"
"273","80","160","-166.406"
"274","90","160","151.603"
"275","100","160","131.123"
"276","110","160","91.6202"
"277","120","160","62.8377"
"278","130","160","32.0464"
"279","140","160","29.2676"
"280","150","160","7.92991"
"281","160","160","-23.2191"
"282","170","160","-14.6395"
"283","180","160","-33.3413"
"284","190","160","-53.9053"
"285","200","160","-96.0909"
"286","20","170","-57.6648"
"287","30","170","-67.7657"
"288","40","170","-81.0541"
"289","50","170","-98.919"
"290","60","170","-123.075"
"291","80","170","-174.397"
"292","90","170","142.986"
"293","100","170","119.526"
"294","110","170","82.8427"
"295","120","170","76.8508"
"296","130","170","36.5655"
"297","140","170","15.3171"
"298","150","170","-5.89484"
"299","160","170","3.13835"
"300","170","170","-75.2214"
"301","180","170","-7.38484"
"302","190","170","-26.5873"
"303","200","170","-40.0835"
"304","20","180","-58.4246"
"305","30","180","-69.0386"
"306","40","180","-83.0476"
"307","50","180","-101.796"
"308","60","180","-127.844"
"309","70","180","141.6"
"310","80","180","179"
"311","90","180","133.489"
"312","100","180","110.835"
"313","110","180","89.2639"
"314","120","180","50.7379"
"315","130","180","27.2178"
"316","140","180","4.58988"
"317","150","180","-7.03145"
"318","160","180","1.32292"
"319","170","180","-19.2794"
"320","180","180","-32.0617"
"321","190","180","-43.733"
"322","200","180","-55.1321"
"323","20","190","-59.162"
"324","30","190","-70.2863"
"325","40","190","-84.9335"
"326","50","190","-104.728"
"327","60","190","-132.352"
"328","70","190","-112.774"
"329","80","190","172.473"
"330","90","190","121.277"
"331","100","190","100.964"
"332","110","190","70.3909"
"333","120","190","42.6156"
"334","130","190","18.126"
"335","140","190","-3.30927"
