#
#"rx"	"Average Phase"
#--------------------
20.000000000000	116.32011507252
25.000000000000	109.50358443609
30.000000000000	102.20481534049
35.000000000000	94.452695188275
40.000000000000	86.289051495707
45.000000000000	77.670379110515
50.000000000000	68.549791668371
55.000000000000	59.049054234719
60.000000000000	48.994426710378
65.000000000000	38.383862570655
75.000000000000	14.138854643337
80.000000000000	4.7437859634654
85.000000000000	-6.9686824987113
90.000000000000	-19.303566921241
95.000000000000	-31.430143204634
100.00000000000	-24.078364583543
105.00000000000	-47.154735224716
110.00000000000	-59.680511306587
115.00000000000	-68.669965407111
120.00000000000	108.08167872775
130.00000000000	85.778495252392
135.00000000000	76.160412595930
140.00000000000	67.971085850662
145.00000000000	60.827682444620
150.00000000000	54.444043599718
155.00000000000	48.034310266289
160.00000000000	41.885933592387
165.00000000000	35.590094908008
170.00000000000	31.620987609816
175.00000000000	32.101035608798
180.00000000000	29.053365580798
185.00000000000	25.333436658848
190.00000000000	19.842890728348
195.00000000000	13.570319817570
200.00000000000	8.2047190506279
