#
#"rx"	"Average Phase"
#--------------------
20.000000000000	135.80118646699
25.000000000000	133.33793324648
30.000000000000	129.96735356690
35.000000000000	125.48305979820
40.000000000000	119.92821864865
45.000000000000	112.78218711391
50.000000000000	104.02270770309
55.000000000000	93.205383790528
60.000000000000	80.264857662140
65.000000000000	65.087394500412
70.000000000000	47.353682861095
75.000000000000	26.599746669015
80.000000000000	4.7437859634654
85.000000000000	-18.408846565704
90.000000000000	-42.192233981781
95.000000000000	-60.561108462516
105.00000000000	-99.264567836438
110.00000000000	-119.08714078986
115.00000000000	-141.68432625131
