#
#"theta"	"Average Phase"
#-----------------------
0.0000000000000	32.833059650330
1.0000000000000	-79.632272236952
2.0000000000000	-79.425033245852
3.0000000000000	-79.445714936946
4.0000000000000	-79.231828484022
5.0000000000000	-79.337140470633
6.0000000000000	-79.066765759045
7.0000000000000	-79.222567869307
8.0000000000000	-79.287762477708
9.0000000000000	-79.429366424126
10.000000000000	-79.507145964078
11.000000000000	-79.677967627885
12.000000000000	-79.469703418244
13.000000000000	-79.529397898515
14.000000000000	-79.522669174258
15.000000000000	-79.474882114405
16.000000000000	-79.517439374122
17.000000000000	-79.653329209388
18.000000000000	-79.430859848255
19.000000000000	-79.442312895923
20.000000000000	-79.439963726715
21.000000000000	-79.316981168771
22.000000000000	-79.393170051109
23.000000000000	-79.365132972936
24.000000000000	-79.352129331364
25.000000000000	-79.493600586578
26.000000000000	-79.296755960772
27.000000000000	-79.251750997400
28.000000000000	-79.072276048287
29.000000000000	-79.027506385330
30.000000000000	-79.082086921774
31.000000000000	-79.030765634905
32.000000000000	-79.207785312132
33.000000000000	-79.068461542335
34.000000000000	-79.181315336949
35.000000000000	-78.936985864444
36.000000000000	-78.917299676231
37.000000000000	-78.914726257569
38.000000000000	-78.937039870875
39.000000000000	-78.839300382051
40.000000000000	-78.940760537358
41.000000000000	-78.927476622240
42.000000000000	-78.839624056852
43.000000000000	-78.821792185569
44.000000000000	-78.734340374945
45.000000000000	-78.897040553359
