#
#"rx"	"Average Phase_1"
#----------------------
20.000000000000	0.0073023607560875
25.000000000000	0.012559488261606
30.000000000000	0.020137135884772
35.000000000000	0.030657005437764
40.000000000000	0.045315879554161
45.000000000000	0.064912048394017
50.000000000000	0.091189710516329
55.000000000000	0.12534837307056
60.000000000000	0.16680605681837
65.000000000000	0.21784313056560
70.000000000000	0.27484354770231
75.000000000000	0.33622724047446
80.000000000000	0.36200305148079
85.000000000000	0.39879381950835
90.000000000000	0.39968188530793
95.000000000000	0.34172709020993
105.00000000000	0.37970839779089
110.00000000000	0.37712961885601
115.00000000000	0.32141153991797
