#
#"rx"	"Average Phase_1"
#----------------------
20.000000000000	0.16957336913145
25.000000000000	0.20996558088207
30.000000000000	0.24908776111938
35.000000000000	0.28619771377556
40.000000000000	0.32058359983854
45.000000000000	0.35142668979232
50.000000000000	0.37780683507191
55.000000000000	0.39865066611113
60.000000000000	0.41344647947894
65.000000000000	0.42142250525158
75.000000000000	0.38253583950375
80.000000000000	0.36200305148079
85.000000000000	0.32994299989216
90.000000000000	0.28677144225349
95.000000000000	0.22771232880447
100.00000000000	0.15336049183615
105.00000000000	0.16041860642057
110.00000000000	0.098432901975712
115.00000000000	0.045663342436973
120.00000000000	0.00083013361500755
130.00000000000	0.090643529716205
135.00000000000	0.12867658429451
140.00000000000	0.16126754211487
145.00000000000	0.19062913878330
150.00000000000	0.21355051789171
155.00000000000	0.23519768525435
160.00000000000	0.25367194404410
165.00000000000	0.26585409920122
170.00000000000	0.25841496126490
175.00000000000	0.27605101084086
180.00000000000	0.29922404547246
185.00000000000	0.32447857072033
190.00000000000	0.34838176240273
195.00000000000	0.36121944657255
200.00000000000	0.36264992688502
