#
#"rx"	"Average Phase_1"
#----------------------
20.000000000000	0.33176523751105
25.000000000000	0.41547629568017
30.000000000000	0.49509071072309
35.000000000000	0.56985871950811
40.000000000000	0.63484494718409
45.000000000000	0.68600774064451
50.000000000000	0.70896790519591
55.000000000000	0.71530010884246
60.000000000000	0.71906043925492
65.000000000000	0.71761423571518
70.000000000000	0.70875837348583
75.000000000000	0.69116606643791
80.000000000000	0.66085415418429
85.000000000000	0.61501955120097
90.000000000000	0.51728155333354
95.000000000000	0.60790938626841
100.00000000000	0.52211664263387
105.00000000000	0.46495372637642
110.00000000000	0.43239878755260
115.00000000000	0.39416506940409
120.00000000000	0.34807938016827
125.00000000000	0.29897715584285
130.00000000000	0.25078533716378
140.00000000000	0.22850411100583
145.00000000000	0.19400421675342
155.00000000000	0.12148556363250
160.00000000000	0.10707557822809
165.00000000000	0.097119665210416
170.00000000000	0.087492971055878
175.00000000000	0.069999303648319
180.00000000000	0.039531391196069
185.00000000000	0.015135426646303
190.00000000000	0.0045736149038401
195.00000000000	0.0011313760682010
200.00000000000	0.00030078041491405
