#
#"r"	"Average Phase"
#-------------------
20.000000000000	-172.69871226852
25.000000000000	-173.88715206751
30.000000000000	-175.38264519597
35.000000000000	-177.31553511957
40.000000000000	-179.70844673750
45.000000000000	177.44809857732
50.000000000000	174.07838723989
55.000000000000	170.07872358044
60.000000000000	165.23289869790
65.000000000000	159.71868513321
70.000000000000	153.21065476610
75.000000000000	145.67994023290
80.000000000000	137.13617448702
85.000000000000	127.10776269157
90.000000000000	115.87197578277
95.000000000000	103.26824254446
100.00000000000	89.946669453794
105.00000000000	75.589467948775
110.00000000000	61.133528918588
115.00000000000	46.042448115131
120.00000000000	30.364408870037
125.00000000000	14.002225725383
126.00000000000	10.602205181485
127.00000000000	6.7385304361151
128.00000000000	2.5848934886147
129.00000000000	-3.2616966180444
130.00000000000	-18.193916290917
131.00000000000	18.036293776438
132.00000000000	0.82656693622678
133.00000000000	-5.1188454043876
134.00000000000	-9.3742147260203
135.00000000000	-12.993035222128
140.00000000000	-29.035149691041
145.00000000000	-43.406289589269
150.00000000000	-56.607596771816
155.00000000000	-68.764200393797
160.00000000000	-80.435118564272
165.00000000000	-92.173873349782
166.00000000000	-95.155051086096
167.00000000000	-98.933354356868
168.00000000000	-107.19723073132
169.00000000000	-36.564778986204
170.00000000000	-91.427912063292
171.00000000000	-97.450466087888
172.00000000000	-101.06329128452
173.00000000000	-104.16209641421
174.00000000000	-107.09658484245
175.00000000000	-110.51510053822
176.00000000000	-115.40950318326
177.00000000000	-151.23499192649
178.00000000000	-102.44658511322
179.00000000000	-110.26968175385
180.00000000000	-114.08500978240
181.00000000000	-117.17681706160
182.00000000000	-119.73937570770
183.00000000000	-122.44864376136
184.00000000000	-125.02576502627
185.00000000000	-127.63234466384
186.00000000000	-131.01098173512
187.00000000000	-134.10920071856
188.00000000000	-138.12727821490
189.00000000000	-144.18622641187
190.00000000000	-153.93869997499
191.00000000000	-178.07769455935
192.00000000000	-61.578930774048
193.00000000000	-104.28942250253
194.00000000000	-119.47935365720
195.00000000000	-126.38195724965
196.00000000000	-131.82864709028
197.00000000000	-135.99180998222
198.00000000000	-139.46102962288
199.00000000000	-142.86278891248
200.00000000000	-145.47233678530
