#
#"rx"	"Average Phase_1"
#----------------------
20.000000000000	0.063198655862135
25.000000000000	0.082801298701690
30.000000000000	0.10586076755670
35.000000000000	0.13279155111367
40.000000000000	0.16397209527260
45.000000000000	0.20007960978760
50.000000000000	0.24003249723022
55.000000000000	0.28343316136911
60.000000000000	0.32964102142574
65.000000000000	0.37611250963599
70.000000000000	0.42090883047928
75.000000000000	0.43287263004768
80.000000000000	0.45402532945635
85.000000000000	0.45084666832901
90.000000000000	0.42424795690038
95.000000000000	0.34854749186724
100.00000000000	0.40357929878321
105.00000000000	0.36967823929323
110.00000000000	0.35281816132216
115.00000000000	0.31957047440258
120.00000000000	0.25669896207575
125.00000000000	0.23153908647722
130.00000000000	0.23805863559434
135.00000000000	0.22084523381629
140.00000000000	0.23558012936660
145.00000000000	0.19194825013001
150.00000000000	0.15703979075013
