#
#"rx"	"Average Phase"
#--------------------
20.000000000000	128.27172944015
25.000000000000	123.87044935951
30.000000000000	118.48718027318
35.000000000000	112.07621683295
40.000000000000	104.47236862124
45.000000000000	95.504430850557
50.000000000000	85.042245019420
55.000000000000	73.235585472006
60.000000000000	59.668473795637
65.000000000000	44.459735062364
70.000000000000	26.441279651018
75.000000000000	10.103566266555
80.000000000000	-9.0844938037221
85.000000000000	-29.321441439288
90.000000000000	-48.900289843054
95.000000000000	-61.758865815416
100.00000000000	-79.082086921774
105.00000000000	-96.631830738199
110.00000000000	-113.00010603625
115.00000000000	-133.31480739637
120.00000000000	-148.42770161701
125.00000000000	-153.96491333718
130.00000000000	-163.18927867057
135.00000000000	-178.46016301033
140.00000000000	161.24951061004
145.00000000000	142.74659948364
150.00000000000	127.03866705014
