#
#"rx"	"Average Phase (ry=20)"
#----------------------------
20.000000000000	-45.887217365988
30.000000000000	-46.684938390911
40.000000000000	-47.503325428796
50.000000000000	-48.264562298869
60.000000000000	-49.059859431298
70.000000000000	-49.834651550415
80.000000000000	-50.641845248609
90.000000000000	-51.437351750277
100.00000000000	-52.174789604565
110.00000000000	-52.974724519023
120.00000000000	-53.736480170411
130.00000000000	-54.497971221974
140.00000000000	-55.385270244702
150.00000000000	-56.063182674051
160.00000000000	-56.824027392029
170.00000000000	-57.664798238871
180.00000000000	-58.424592250718
190.00000000000	-59.162005555897
200.00000000000	-59.834459554092
#
#"rx"	"Average Phase (ry=30)"
#----------------------------
20.000000000000	-47.631901831532
30.000000000000	-49.102431876030
40.000000000000	-50.457624782765
50.000000000000	-51.839768664128
60.000000000000	-53.209152762779
70.000000000000	-54.575460742874
80.000000000000	-55.996425073153
90.000000000000	-57.376112490741
100.00000000000	-58.700650133403
110.00000000000	-60.055119874001
120.00000000000	-61.366036771938
130.00000000000	-62.664301412331
140.00000000000	-63.963897078699
150.00000000000	-65.244199497138
160.00000000000	-66.521640664320
170.00000000000	-67.765710787007
180.00000000000	-69.038566012202
190.00000000000	-70.286290655351
200.00000000000	-71.479640689845
#
#"rx"	"Average Phase (ry=40)"
#----------------------------
20.000000000000	-49.809835854049
30.000000000000	-52.094934380504
40.000000000000	-54.289216247310
50.000000000000	-56.469098047625
60.000000000000	-58.687329387054
70.000000000000	-60.840056329037
80.000000000000	-62.874305893095
90.000000000000	-64.905898971288
100.00000000000	-66.984699389372
110.00000000000	-69.046192845940
120.00000000000	-71.092794006675
130.00000000000	-73.124504261700
140.00000000000	-75.173846539903
150.00000000000	-77.279459482923
160.00000000000	-79.165487628876
170.00000000000	-81.054062958724
180.00000000000	-83.047564822914
190.00000000000	-84.933479910589
200.00000000000	-86.740422842603
#
#"rx"	"Average Phase (ry=50)"
#----------------------------
20.000000000000	-52.272826258264
30.000000000000	-55.657387959510
40.000000000000	-58.943295503997
50.000000000000	-62.293913786816
60.000000000000	-65.473729134864
70.000000000000	-68.543500607255
80.000000000000	-71.715257724941
90.000000000000	-74.834236387573
100.00000000000	-77.960282866648
110.00000000000	-81.067781334542
120.00000000000	-84.191188096473
130.00000000000	-87.310934484092
140.00000000000	-90.135398818867
150.00000000000	-93.039126292451
160.00000000000	-96.019764248342
170.00000000000	-98.918981945839
180.00000000000	-101.79577821048
190.00000000000	-104.72844153556
200.00000000000	-107.45078683220
#
#"rx"	"Average Phase (ry=60)"
#----------------------------
20.000000000000	-55.060624882982
30.000000000000	-59.834125092798
40.000000000000	-64.599073345823
50.000000000000	-69.293757371821
60.000000000000	-73.804228643446
70.000000000000	-78.451296748190
80.000000000000	-82.982913237211
90.000000000000	-87.586433650096
100.00000000000	-92.229250008632
110.00000000000	-97.081138402160
120.00000000000	-101.35186994925
130.00000000000	-105.52231007948
140.00000000000	-110.01648022082
150.00000000000	-114.34177896999
160.00000000000	-118.98735575247
170.00000000000	-123.07544142259
180.00000000000	-127.84377448492
190.00000000000	-132.35190580914
200.00000000000	-137.28361863017
#
#"rx"	"Average Phase (ry=70)"
#----------------------------
20.000000000000	-58.149366845567
30.000000000000	-64.578535762562
40.000000000000	-71.165867907714
50.000000000000	-77.531030579489
60.000000000000	-83.968736090121
70.000000000000	-90.574067975959
80.000000000000	-97.163025733292
90.000000000000	-103.97751821981
100.00000000000	-110.68778799633
110.00000000000	-117.52832030657
120.00000000000	-123.35598391797
130.00000000000	-130.29906983368
140.00000000000	-137.77807485324
150.00000000000	-145.01693178678
160.00000000000	-155.92851518313
180.00000000000	141.59974762441
190.00000000000	-112.77448453574
200.00000000000	-136.36224318765
#
#"rx"	"Average Phase (ry=80)"
#----------------------------
20.000000000000	-61.430928509762
30.000000000000	-69.869219609507
40.000000000000	-78.568488655231
50.000000000000	-87.276175890237
60.000000000000	-96.381142342540
70.000000000000	-105.46164168178
80.000000000000	-114.91751489614
90.000000000000	-124.34354903310
100.00000000000	-135.99721162436
110.00000000000	-145.80675954341
120.00000000000	-163.57356239248
130.00000000000	-85.393691648277
140.00000000000	-145.29951658799
150.00000000000	-157.87227235025
160.00000000000	-166.40571949527
170.00000000000	-174.39668190390
180.00000000000	178.99989719890
190.00000000000	172.47308630770
200.00000000000	166.58799814675
#
#"rx"	"Average Phase (ry=90)"
#----------------------------
20.000000000000	-64.934744123703
30.000000000000	-75.614582419549
40.000000000000	-86.844204811413
50.000000000000	-98.637555566367
60.000000000000	-110.74736354740
70.000000000000	-123.28960791997
80.000000000000	-137.15669154751
90.000000000000	-159.38749289237
100.00000000000	-136.41517384345
110.00000000000	-158.57431045754
120.00000000000	-171.23035600876
130.00000000000	178.86119850111
140.00000000000	169.60878149800
150.00000000000	160.37957908828
160.00000000000	151.60298929326
170.00000000000	142.98644340232
180.00000000000	133.48909207334
190.00000000000	121.27667604232
200.00000000000	97.235244450071
#
#"rx"	"Average Phase (ry=100)"
#-----------------------------
20.000000000000	-68.597808359789
30.000000000000	-81.984189220383
40.000000000000	-96.057893500525
50.000000000000	-111.39284878177
60.000000000000	-127.48590950055
70.000000000000	-149.60470330960
80.000000000000	-144.48781086631
90.000000000000	-166.19280789657
100.00000000000	-179.65262631013
110.00000000000	167.45000265427
120.00000000000	155.10979387586
130.00000000000	142.21544750632
140.00000000000	121.62201713697
150.00000000000	156.79216886806
160.00000000000	131.12290266663
170.00000000000	119.52631050116
180.00000000000	110.83496929952
190.00000000000	100.96425234133
200.00000000000	97.933553230540
#
