#
#"theta"	"Average Phase (rx=20)"
#-------------------------------
1.0000000000000	128.01936652807
3.0000000000000	128.25160060359
5.0000000000000	128.20518661326
7.0000000000000	128.33067878476
9.0000000000000	128.26271954179
11.000000000000	128.28233204057
13.000000000000	128.30281083780
15.000000000000	128.32620343171
17.000000000000	128.31611714405
19.000000000000	128.30366958657
21.000000000000	128.26246351813
23.000000000000	128.26979466833
25.000000000000	128.26752780864
27.000000000000	128.30736863230
29.000000000000	128.28443142226
30.000000000000	128.27172944015
31.000000000000	128.28333000430
33.000000000000	128.27627739441
35.000000000000	128.31418036536
37.000000000000	128.27403561773
39.000000000000	128.26314332136
41.000000000000	128.29899978934
43.000000000000	128.27756985594
45.000000000000	128.27884820853
#
#"theta"	"Average Phase (rx=25)"
#-------------------------------
1.0000000000000	124.08202904031
3.0000000000000	123.81472933209
5.0000000000000	123.83483023606
7.0000000000000	123.79532121317
9.0000000000000	123.84911421903
11.000000000000	123.81392239277
13.000000000000	123.80537403918
15.000000000000	123.80007521279
17.000000000000	123.86133321451
19.000000000000	123.80981882136
21.000000000000	123.84133922150
23.000000000000	123.82565598707
25.000000000000	123.79451501068
27.000000000000	123.85730344406
29.000000000000	123.84232246000
30.000000000000	123.87044935951
31.000000000000	123.84864060502
33.000000000000	123.87537615750
35.000000000000	123.86659420090
37.000000000000	123.88499430922
39.000000000000	123.86817616393
41.000000000000	123.89320986914
43.000000000000	123.87548217659
45.000000000000	123.87689055508
#
#"theta"	"Average Phase (rx=30)"
#-------------------------------
1.0000000000000	118.50968945236
3.0000000000000	118.42052066289
5.0000000000000	118.46173040646
7.0000000000000	118.42115591033
9.0000000000000	118.38408567668
11.000000000000	118.41842221566
13.000000000000	118.44710600270
15.000000000000	118.43564073533
17.000000000000	118.45692403034
19.000000000000	118.44996663920
21.000000000000	118.48468640979
23.000000000000	118.47447778694
25.000000000000	118.50456397097
27.000000000000	118.51615513244
29.000000000000	118.47347356835
30.000000000000	118.48718027318
31.000000000000	118.48658665673
33.000000000000	118.54700793365
35.000000000000	118.50008965964
37.000000000000	118.54389636050
39.000000000000	118.56292587340
41.000000000000	118.54106753209
43.000000000000	118.52953228054
45.000000000000	118.54230474837
#
#"theta"	"Average Phase (rx=35)"
#-------------------------------
1.0000000000000	111.86621529345
3.0000000000000	112.02483590551
5.0000000000000	111.94076425012
7.0000000000000	112.04186862630
9.0000000000000	112.02080914013
11.000000000000	112.05456740562
13.000000000000	112.04948858775
15.000000000000	112.06896139885
17.000000000000	112.07408909449
19.000000000000	112.04356530822
21.000000000000	112.06298229433
23.000000000000	112.05844282958
25.000000000000	112.06760257622
27.000000000000	112.07209641114
29.000000000000	112.10022298251
30.000000000000	112.07621683295
31.000000000000	112.09929476284
33.000000000000	112.09621747770
35.000000000000	112.12489628221
37.000000000000	112.09433703352
39.000000000000	112.10276008891
41.000000000000	112.10433382108
43.000000000000	112.13865893467
45.000000000000	112.11052650423
#
#"theta"	"Average Phase (rx=40)"
#-------------------------------
1.0000000000000	104.49818237339
3.0000000000000	104.31878262837
5.0000000000000	104.35921832898
7.0000000000000	104.32964403280
9.0000000000000	104.34574759732
11.000000000000	104.40365736765
13.000000000000	104.41844951409
15.000000000000	104.36594187874
17.000000000000	104.37880294987
19.000000000000	104.46066939451
21.000000000000	104.36831738242
23.000000000000	104.33725655634
25.000000000000	104.43774235901
27.000000000000	104.44019014188
29.000000000000	104.48033826543
30.000000000000	104.47236862124
31.000000000000	104.47103162058
33.000000000000	104.52573328527
35.000000000000	104.44131682412
37.000000000000	104.48729546347
39.000000000000	104.48952504987
41.000000000000	104.50063048682
43.000000000000	104.53723627970
45.000000000000	104.48442472643
#
#"theta"	"Average Phase (rx=45)"
#-------------------------------
1.0000000000000	95.096323162249
3.0000000000000	95.258080856042
5.0000000000000	95.333242066326
7.0000000000000	95.405564007871
9.0000000000000	95.279308318426
11.000000000000	95.338619099148
13.000000000000	95.298786703492
15.000000000000	95.394063663792
17.000000000000	95.431794861114
19.000000000000	95.463416155028
21.000000000000	95.480586918590
23.000000000000	95.439093101333
25.000000000000	95.478671558078
27.000000000000	95.495688798937
29.000000000000	95.486888049112
30.000000000000	95.504430850557
31.000000000000	95.526039872801
33.000000000000	95.525871109060
35.000000000000	95.550141268851
37.000000000000	95.490048068960
39.000000000000	95.576657051025
41.000000000000	95.542061575131
43.000000000000	95.542596649280
45.000000000000	95.558736703705
#
#"theta"	"Average Phase (rx=50)"
#-------------------------------
1.0000000000000	84.173965857806
3.0000000000000	85.014355589510
5.0000000000000	84.785682899272
7.0000000000000	84.817587015285
9.0000000000000	84.870210481693
11.000000000000	84.852878054298
13.000000000000	84.907354440228
15.000000000000	84.925889161860
17.000000000000	84.972897425100
19.000000000000	84.962420009085
21.000000000000	84.947611587896
23.000000000000	84.951378550557
25.000000000000	85.014247054027
27.000000000000	85.045099864174
29.000000000000	85.079746724657
30.000000000000	85.042245019420
31.000000000000	85.109625416077
33.000000000000	85.118173552765
35.000000000000	85.098390404475
37.000000000000	85.116497821999
39.000000000000	85.143553108097
41.000000000000	85.099273353908
43.000000000000	85.177259571814
45.000000000000	85.163213750016
#
#"theta"	"Average Phase (rx=55)"
#-------------------------------
1.0000000000000	72.646554774672
3.0000000000000	73.115928782241
5.0000000000000	72.956255238755
7.0000000000000	72.993137065844
9.0000000000000	72.980148661424
11.000000000000	72.866584620265
13.000000000000	73.030183083723
15.000000000000	72.966845390096
17.000000000000	73.068211356475
19.000000000000	72.995873560438
21.000000000000	73.144809030098
23.000000000000	73.196790791125
