#
#"r"	"Average Phase"
#-------------------
25.000000000000	-44.769983100174
25.000000000000	143.17651635416
30.000000000000	-45.095340096376
30.000000000000	142.78968488602
35.000000000000	-45.544321026584
35.000000000000	142.39920152514
40.000000000000	-46.210902000132
40.000000000000	141.87544331486
45.000000000000	-46.970962450794
45.000000000000	141.22914206742
50.000000000000	-47.885694335785
50.000000000000	140.52615774141
55.000000000000	-49.063994867144
55.000000000000	139.66191711818
60.000000000000	-50.481734210050
60.000000000000	138.69764745083
65.000000000000	-52.061103756695
65.000000000000	137.50111055183
70.000000000000	-54.746701457798
70.000000000000	136.22061286657
75.000000000000	-60.248736169162
75.000000000000	134.80837004175
80.000000000000	-75.577322624541
80.000000000000	133.20062196901
85.000000000000	0.13461365873019
85.000000000000	131.47268683302
90.000000000000	-37.588332545811
90.000000000000	129.60196508772
95.000000000000	-45.292120173597
95.000000000000	127.51951106303
100.00000000000	-50.192378174030
100.00000000000	125.22829267161
105.00000000000	-53.453494311583
105.00000000000	122.88252759677
110.00000000000	-56.091783408186
110.00000000000	120.37670925802
115.00000000000	-58.808708963667
115.00000000000	117.78334570498
120.00000000000	-61.706551200663
120.00000000000	115.10540204319
125.00000000000	-63.988565614241
125.00000000000	112.37508302519
130.00000000000	-66.663422408299
130.00000000000	109.66796499053
135.00000000000	-69.424941738901
135.00000000000	106.92017479890
140.00000000000	-72.216413554592
140.00000000000	104.11972866940
145.00000000000	-75.065790611836
145.00000000000	101.47619670777
150.00000000000	-77.915364905091
150.00000000000	98.744834419929
155.00000000000	-80.843077766525
155.00000000000	96.061223851936
160.00000000000	-83.828981862200
160.00000000000	93.470627255760
165.00000000000	-86.855184372681
165.00000000000	90.907196485215
170.00000000000	-89.798479448061
170.00000000000	88.479265226624
175.00000000000	-93.021598677357
175.00000000000	85.956693144732
180.00000000000	-96.180600511819
180.00000000000	83.381530407580
185.00000000000	-99.559569057341
185.00000000000	80.705914089721
190.00000000000	-102.87073794817
190.00000000000	77.698977795103
195.00000000000	-106.37796580998
195.00000000000	73.958831398309
200.00000000000	-109.97848436993
200.00000000000	68.141921793273
