0.12008,0.19056,0.28286,0.38155,0.49214,0.57598,0.62473,0.72663,0.80961,0.9084
11,8,6,5,6,6,7,8,11,11
13,9,7,7,7,7,8,9,13,13
15,11,8,8,8,9,9,11,15,15
17,12,9,9,9,10,11,13,17,18
20,14,11,10,11,11,12,14,20,20
22,15,12,11,12,12,14,16,23,23
25,17,13,12,13,14,15,18,25,26
29,19,14,13,14,15,17,20,29,29
32,21,16,14,15,16,18,22,33,34
38,23,17,16,17,18,20,24,39,41
